epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9017,2.05677,3.91177,1.88958,0.82731,0.32898,0.30899,0.13195,1.88797,2.39262,1.73167,0.000552679,0.000552679,0.000552679
2,96.3307,1.88829,2.7271,1.74552,0.85496,0.35646,0.33852,0.14285,1.91297,1.98961,1.75467,0.0010864,0.0010864,0.0010864
3,133.799,1.88647,2.31325,1.73839,0.86276,0.35405,0.3373,0.14545,1.8582,1.86566,1.73611,0.00159812,0.00159812,0.00159812
4,165.144,1.83697,2.03753,1.69652,0.84149,0.34264,0.34651,0.15362,1.84029,1.45059,1.74244,0.00156798,0.00156798,0.00156798
5,197.252,1.82455,1.88627,1.74444,0.86062,0.38072,0.3597,0.16588,1.79999,1.34747,1.75201,0.00153497,0.00153497,0.00153497
6,226.118,1.8271,1.68446,1.72612,0.85511,0.37027,0.34764,0.15244,1.89609,1.40684,1.81918,0.00150197,0.00150197,0.00150197
7,259.436,1.80756,1.57544,1.70997,0.87612,0.37327,0.36162,0.16883,1.81162,1.27836,1.73057,0.00146896,0.00146896,0.00146896
8,293.746,1.77479,1.52895,1.70041,0.87072,0.38799,0.37038,0.17152,1.75914,1.29586,1.71944,0.00143595,0.00143595,0.00143595
9,324.811,1.76048,1.46635,1.70378,0.87696,0.38859,0.37376,0.17314,1.75297,1.18614,1.72199,0.00140295,0.00140295,0.00140295
10,354.259,1.77091,1.47759,1.71314,0.88608,0.38198,0.37354,0.17736,1.75807,1.19775,1.74946,0.00136994,0.00136994,0.00136994
11,385.778,1.73903,1.32313,1.67526,0.88876,0.38724,0.37814,0.17735,1.78059,1.15626,1.75678,0.00133693,0.00133693,0.00133693
12,417.51,1.7339,1.33694,1.67358,0.88614,0.40026,0.38503,0.18078,1.80365,1.07067,1.77772,0.00130393,0.00130393,0.00130393
13,447.975,1.7137,1.33415,1.66504,0.89838,0.3955,0.38764,0.1867,1.71942,1.10232,1.70243,0.00127092,0.00127092,0.00127092
14,477.17,1.70477,1.2308,1.64903,0.88977,0.3964,0.38797,0.18631,1.73348,1.0423,1.72792,0.00123791,0.00123791,0.00123791
15,508.403,1.70545,1.23598,1.65915,0.88526,0.40334,0.38318,0.18155,1.7484,1.12339,1.7367,0.00120491,0.00120491,0.00120491
16,538.02,1.66962,1.21784,1.62177,0.88847,0.4024,0.39111,0.19199,1.70732,1.04294,1.73289,0.0011719,0.0011719,0.0011719
17,570.991,1.67436,1.20867,1.62624,0.88127,0.40991,0.3894,0.19028,1.71315,1.05347,1.72164,0.00113889,0.00113889,0.00113889
18,601.658,1.66646,1.17384,1.60487,0.88305,0.41409,0.38825,0.19298,1.71339,1.02278,1.75003,0.00110589,0.00110589,0.00110589
19,640.476,1.64445,1.15787,1.61301,0.8908,0.4039,0.38371,0.1901,1.72208,1.00796,1.73323,0.00107288,0.00107288,0.00107288
20,673.162,1.64249,1.16079,1.61672,0.89722,0.4003,0.38927,0.19549,1.70866,1.01338,1.74478,0.00103987,0.00103987,0.00103987
21,703.684,1.63488,1.15222,1.61983,0.88688,0.4067,0.38773,0.18781,1.70877,1.00155,1.74229,0.00100687,0.00100687,0.00100687
22,734.815,1.64595,1.12698,1.6125,0.89246,0.40691,0.38966,0.19366,1.68367,1.00037,1.70878,0.000973861,0.000973861,0.000973861
23,765.586,1.63405,1.10452,1.59218,0.90016,0.402,0.39125,0.19481,1.69314,0.98215,1.72159,0.000940855,0.000940855,0.000940855
24,801.203,1.65186,1.13048,1.60834,0.90056,0.40721,0.39284,0.1956,1.69126,1.00052,1.71241,0.000907848,0.000907848,0.000907848
25,836.94,1.61991,1.11271,1.59258,0.89284,0.40732,0.38939,0.18996,1.75542,1.00997,1.77518,0.000874842,0.000874842,0.000874842
26,881.701,1.58816,1.07917,1.58901,0.90043,0.39399,0.3911,0.19353,1.7104,1.00198,1.73391,0.000841835,0.000841835,0.000841835
27,918.486,1.60707,1.08135,1.57547,0.89392,0.40591,0.39367,0.19928,1.67758,0.94627,1.72285,0.000808828,0.000808828,0.000808828
28,957.163,1.57903,1.09385,1.58231,0.89928,0.41231,0.39775,0.19938,1.71647,0.97763,1.71707,0.000775822,0.000775822,0.000775822
29,993.712,1.5856,1.07646,1.58149,0.89168,0.41381,0.4002,0.19936,1.70112,0.98939,1.72021,0.000742815,0.000742815,0.000742815
30,1033.92,1.56146,1.06789,1.56413,0.89602,0.40631,0.40323,0.19953,1.68438,0.95136,1.72129,0.000709809,0.000709809,0.000709809
