epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2059,2.56967,17.8681,1.12306,0.93335,0.24354,0.52229,0.20311,2.1691,4.91795,1.05435,0.000661111,0.000661111,0.000661111
2,43.5917,2.33086,10.0001,1.05328,0.60767,0.68696,0.68277,0.27324,2.00773,3.78252,1.00751,0.00130149,0.00130149,0.00130149
3,59.7463,2.30464,8.04676,1.04632,0.72542,0.44797,0.48534,0.18572,2.16902,3.58234,1.03134,0.00191546,0.00191546,0.00191546
4,76.4885,2.29826,6.32229,1.03413,0.70901,0.63562,0.68124,0.2345,2.21333,2.58548,1.03599,0.0018812,0.0018812,0.0018812
5,92.5576,2.25738,5.39525,1.02539,0.85366,0.7087,0.80745,0.3323,2.01696,2.24918,1.00538,0.0018416,0.0018416,0.0018416
6,111.622,2.27838,4.33256,1.01581,0.84334,0.71304,0.78798,0.32894,2.00171,2.12731,1.00939,0.001802,0.001802,0.001802
7,127.549,2.16907,3.47692,1.01733,0.84028,0.71304,0.78451,0.3111,2.05003,1.37316,1.00773,0.0017624,0.0017624,0.0017624
8,143.351,2.18529,2.89979,1.02101,0.77904,0.73579,0.78472,0.33252,1.99187,1.22681,0.99876,0.0017228,0.0017228,0.0017228
9,159.069,2.143,2.51634,1.00782,0.85716,0.73478,0.81942,0.32751,1.99579,1.15309,0.99087,0.0016832,0.0016832,0.0016832
10,175.529,2.1797,2.21522,0.99777,0.76693,0.73043,0.79225,0.28912,2.07415,1.19568,1.00709,0.0016436,0.0016436,0.0016436
11,191.735,2.14658,2.03264,1.00653,0.82542,0.77391,0.82026,0.31871,1.98731,1.15988,0.99018,0.001604,0.001604,0.001604
12,208.138,2.06,1.78509,0.98379,0.84329,0.81887,0.8682,0.36322,1.98676,1.04593,0.99204,0.0015644,0.0015644,0.0015644
13,228.01,2.04505,1.65592,0.97951,0.85158,0.79829,0.85075,0.35922,2.01673,1.07608,0.99452,0.0015248,0.0015248,0.0015248
14,244.283,2.05274,1.57051,0.97752,0.84658,0.79173,0.83896,0.35218,1.99838,1.10904,0.98689,0.0014852,0.0014852,0.0014852
15,260.086,2.01848,1.51996,0.96569,0.83181,0.79558,0.8348,0.34216,2.00943,1.06077,0.99849,0.0014456,0.0014456,0.0014456
16,275.849,2.01009,1.44993,0.96302,0.85021,0.76522,0.83814,0.34997,1.99154,1.05575,0.98518,0.001406,0.001406,0.001406
17,291.694,2.03546,1.39633,0.9838,0.84704,0.82174,0.86469,0.37539,1.93879,1.09832,0.97618,0.0013664,0.0013664,0.0013664
18,307.583,2.02636,1.35764,0.9673,0.86663,0.81929,0.8533,0.35459,1.99656,1.04496,0.98812,0.0013268,0.0013268,0.0013268
19,323.622,2.0106,1.29733,0.968,0.87903,0.78696,0.87537,0.38177,1.95661,1.05359,0.97941,0.0012872,0.0012872,0.0012872
20,340.179,1.97767,1.29183,0.97042,0.86031,0.80333,0.85326,0.36845,1.94546,1.04773,0.9778,0.0012476,0.0012476,0.0012476
21,356.216,1.98484,1.23481,0.9617,0.81511,0.81304,0.83642,0.3557,1.95212,1.04317,0.97879,0.001208,0.001208,0.001208
22,371.964,1.96693,1.24851,0.95511,0.87579,0.82771,0.87735,0.38182,1.9136,1.04016,0.96615,0.0011684,0.0011684,0.0011684
23,388.025,1.95966,1.17278,0.9544,0.81844,0.84348,0.85904,0.3572,1.95938,1.07415,0.98002,0.0011288,0.0011288,0.0011288
24,404.194,1.97788,1.2045,0.95463,0.89247,0.83478,0.86299,0.37041,1.92797,1.06466,0.96844,0.0010892,0.0010892,0.0010892
25,420.002,1.96922,1.15708,0.94367,0.87666,0.8,0.86143,0.36358,1.95397,1.03435,0.9745,0.0010496,0.0010496,0.0010496
26,436.002,1.91989,1.15342,0.95882,0.88375,0.81304,0.86957,0.37822,1.94677,1.00008,0.96997,0.00101,0.00101,0.00101
27,451.826,1.90968,1.06794,0.94831,0.84764,0.80435,0.85811,0.36591,1.93186,1.06037,0.96808,0.0009704,0.0009704,0.0009704
28,467.844,1.91779,1.13891,0.94623,0.85915,0.82215,0.86245,0.38127,1.93595,1.00055,0.97154,0.0009308,0.0009308,0.0009308
29,483.646,1.91628,1.06785,0.93298,0.87966,0.81304,0.87438,0.37725,1.93268,0.98976,0.96745,0.0008912,0.0008912,0.0008912
30,499.659,1.90355,1.0875,0.95483,0.91685,0.84348,0.88965,0.3906,1.91103,0.96446,0.97077,0.0008516,0.0008516,0.0008516
31,515.644,1.89737,1.04485,0.94779,0.88862,0.85652,0.88443,0.37456,1.9349,0.99221,0.96328,0.000812,0.000812,0.000812
32,531.715,1.86273,1.02459,0.94144,0.87754,0.84783,0.88407,0.38421,1.92498,0.97129,0.96359,0.0007724,0.0007724,0.0007724
33,547.644,1.87652,0.99918,0.9267,0.89552,0.86957,0.89249,0.39259,1.94357,0.95655,0.9608,0.0007328,0.0007328,0.0007328
34,563.775,1.87494,0.99601,0.94353,0.90715,0.84954,0.89027,0.38225,1.91094,0.94124,0.95291,0.0006932,0.0006932,0.0006932
