epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.913,3.40815,76.1224,1.10814,0.69937,0.68208,0.70477,0.22544,3.20922,18.5638,1.12257,0.000663522,0.000663522,0.000663522
2,58.5276,3.22117,38.8792,1.04786,0.80833,0.67016,0.73146,0.2664,2.78695,10.8513,1.02448,0.00130385,0.00130385,0.00130385
3,85.8983,3.08104,27.5798,1.01621,0.64578,0.67016,0.64797,0.21805,3.10267,11.6638,1.0439,0.00191778,0.00191778,0.00191778
