epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.78754,1.98109,6.38374,1.43473,0.00246,0.26415,0.09463,0.02283,1.65896,5.16564,1.33935,0.00065,0.00065,0.00065
2,13.1019,1.86804,4.26846,1.29356,0.69375,0.43396,0.53225,0.25541,1.74914,4.07645,1.20766,0.0012906,0.0012906,0.0012906
3,18.5841,1.85831,4.11725,1.29016,0.93353,0.79245,0.88535,0.38141,1.77114,2.62644,1.22745,0.00190479,0.00190479,0.00190479
4,24.0941,1.76288,3.60458,1.29064,0.88357,0.83019,0.92017,0.44696,1.70966,2.53101,1.23396,0.0018812,0.0018812,0.0018812
5,29.5894,1.76533,3.39878,1.26173,0.92521,0.84906,0.93243,0.42606,1.77829,1.78362,1.24702,0.0018416,0.0018416,0.0018416
6,35.1421,1.72027,2.72503,1.23431,0.83105,0.92813,0.9479,0.42277,1.664,1.57564,1.25102,0.001802,0.001802,0.001802
7,39.4826,1.68768,2.98441,1.20979,0.9372,0.86792,0.91529,0.4525,1.68346,1.47819,1.22853,0.0017624,0.0017624,0.0017624
8,44.9239,1.63184,2.59011,1.21263,0.85776,0.9434,0.94793,0.46754,1.6454,1.54489,1.22445,0.0017228,0.0017228,0.0017228
9,50.445,1.63516,2.33903,1.24114,0.87498,0.92439,0.88569,0.4215,1.6608,1.39158,1.2668,0.0016832,0.0016832,0.0016832
10,55.9225,1.58425,2.22549,1.19033,0.80469,0.98113,0.92938,0.43689,1.68241,1.35617,1.27329,0.0016436,0.0016436,0.0016436
11,61.5402,1.55165,2.0942,1.17563,0.87795,0.81441,0.91632,0.45865,1.67061,1.39045,1.2293,0.001604,0.001604,0.001604
12,67.0191,1.63144,2.02501,1.18624,0.92235,0.9434,0.94807,0.45978,1.68771,1.25789,1.24423,0.0015644,0.0015644,0.0015644
13,71.3669,1.56059,1.80145,1.18237,0.88883,0.90516,0.90161,0.46828,1.64284,1.22286,1.21312,0.0015248,0.0015248,0.0015248
14,76.8473,1.52604,1.8569,1.13891,0.85925,0.92453,0.94186,0.46527,1.59373,1.21943,1.17867,0.0014852,0.0014852,0.0014852
15,82.2082,1.51283,1.63649,1.16034,0.97468,0.96226,0.97394,0.47793,1.56735,1.14633,1.19918,0.0014456,0.0014456,0.0014456
16,87.5726,1.49876,1.58793,1.13226,0.96271,0.9434,0.96813,0.51337,1.55716,1.11414,1.19476,0.001406,0.001406,0.001406
17,92.9844,1.45438,1.49096,1.12083,0.94933,0.92453,0.96295,0.51614,1.52531,1.10326,1.17428,0.0013664,0.0013664,0.0013664
18,98.3465,1.47353,1.40352,1.13898,0.88718,0.96226,0.95194,0.48461,1.58128,1.12355,1.21364,0.0013268,0.0013268,0.0013268
19,102.622,1.47106,1.40017,1.13662,0.84761,0.94453,0.9531,0.46041,1.7015,1.11232,1.26808,0.0012872,0.0012872,0.0012872
20,108.021,1.45863,1.41481,1.14072,0.9219,0.90566,0.96254,0.47092,1.57422,1.08784,1.21583,0.0012476,0.0012476,0.0012476
21,113.495,1.43542,1.36357,1.12816,0.90956,0.96226,0.9627,0.46378,1.66381,1.17661,1.29133,0.001208,0.001208,0.001208
22,118.945,1.40704,1.31535,1.11264,0.94431,0.95985,0.97387,0.48526,1.56446,1.06714,1.21577,0.0011684,0.0011684,0.0011684
23,124.404,1.41097,1.22973,1.12959,0.89267,0.92453,0.9494,0.47485,1.62532,1.07892,1.22213,0.0011288,0.0011288,0.0011288
24,129.861,1.40201,1.18832,1.1022,0.94684,0.92453,0.96545,0.46456,1.62153,1.04195,1.22531,0.0010892,0.0010892,0.0010892
25,134.129,1.37362,1.15907,1.08947,0.91943,0.96226,0.96803,0.47894,1.57999,0.92487,1.2049,0.0010496,0.0010496,0.0010496
26,139.414,1.38475,1.12043,1.10674,0.8714,0.9434,0.93335,0.46342,1.60647,0.89573,1.23883,0.00101,0.00101,0.00101
27,144.781,1.40071,1.12251,1.10326,0.90448,0.96226,0.95295,0.49555,1.57182,0.77491,1.202,0.0009704,0.0009704,0.0009704
28,150.203,1.33866,1.04,1.07891,0.88859,0.98113,0.9626,0.49402,1.58705,0.79497,1.21675,0.0009308,0.0009308,0.0009308
29,155.541,1.33171,1.06603,1.06753,0.94328,0.98113,0.97384,0.49774,1.59207,0.73078,1.18873,0.0008912,0.0008912,0.0008912
30,160.833,1.3095,1.02401,1.05132,0.92803,0.97323,0.97095,0.49419,1.55435,0.73511,1.18598,0.0008516,0.0008516,0.0008516
31,165.051,1.32284,0.9839,1.05468,0.89561,0.97137,0.97262,0.5124,1.56245,0.76905,1.19803,0.000812,0.000812,0.000812
32,170.359,1.28336,0.98656,1.0595,0.89612,0.97664,0.97131,0.48918,1.62956,0.75132,1.21666,0.0007724,0.0007724,0.0007724
33,175.761,1.26259,0.94913,1.04808,0.90243,0.9434,0.95472,0.47579,1.63001,0.74716,1.22192,0.0007328,0.0007328,0.0007328
34,181.185,1.26964,0.92578,1.04588,0.87884,0.95811,0.95001,0.4817,1.61647,0.77103,1.21626,0.0006932,0.0006932,0.0006932
35,186.528,1.29052,0.94109,1.05943,0.91131,0.96941,0.95567,0.4725,1.6427,0.73429,1.24204,0.0006536,0.0006536,0.0006536
36,191.899,1.25306,0.90193,1.05131,0.94359,0.96226,0.96742,0.49734,1.61385,0.71852,1.20798,0.000614,0.000614,0.000614
37,196.189,1.25401,0.90148,1.05577,0.92542,0.93663,0.97135,0.48392,1.61005,0.73553,1.2294,0.0005744,0.0005744,0.0005744
38,201.545,1.20855,0.88195,1.04413,0.93452,0.96226,0.97576,0.49615,1.61291,0.7163,1.22739,0.0005348,0.0005348,0.0005348
39,206.951,1.21706,0.88502,1.03199,0.93819,0.9434,0.9682,0.47059,1.62913,0.69858,1.21222,0.0004952,0.0004952,0.0004952
40,212.318,1.18819,0.8765,1.0105,0.94426,0.9589,0.96685,0.4736,1.65621,0.71889,1.22952,0.0004556,0.0004556,0.0004556
41,218.554,1.24557,1.02409,1.05022,0.89862,0.9434,0.93452,0.47969,1.66286,0.71982,1.22637,0.000416,0.000416,0.000416
42,224.08,1.21292,0.95759,1.05096,0.88933,0.92453,0.92417,0.4838,1.66091,0.70541,1.24442,0.0003764,0.0003764,0.0003764
43,228.391,1.18894,0.96125,1.02892,0.9146,0.9434,0.96181,0.48949,1.65251,0.71818,1.25164,0.0003368,0.0003368,0.0003368
44,233.739,1.17492,0.92986,1.01174,0.90413,0.90566,0.92782,0.48301,1.65241,0.72963,1.24819,0.0002972,0.0002972,0.0002972
45,239.139,1.17456,0.92154,1.00957,0.89663,0.9434,0.93219,0.47343,1.67083,0.7227,1.23822,0.0002576,0.0002576,0.0002576
46,244.479,1.12243,0.89935,0.99739,0.92776,0.96929,0.97181,0.50315,1.64245,0.70707,1.22423,0.000218,0.000218,0.000218
