epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.906,2.54305,17.969,1.09146,0.70219,0.6553,0.69784,0.25324,2.15209,4.07137,1.02506,0.00066323,0.00066323,0.00066323
2,55.241,2.28,8.26235,1.01618,0.82201,0.65978,0.74734,0.29685,1.98509,2.97664,0.99906,0.00130356,0.00130356,0.00130356
3,80.832,2.24419,5.82356,0.99915,0.84094,0.73247,0.80255,0.32476,1.99852,2.34178,1.00559,0.0019175,0.0019175,0.0019175
4,106.613,2.20552,4.26999,0.98218,0.82581,0.71688,0.79677,0.32254,1.91244,2.28634,0.97687,0.0018812,0.0018812,0.0018812
5,132.332,2.11878,3.14116,0.99194,0.80822,0.75528,0.82292,0.34791,1.9161,1.08293,0.98014,0.0018416,0.0018416,0.0018416
6,157.598,2.09254,2.2631,0.95889,0.82384,0.76883,0.81541,0.28336,2.10536,1.22668,1.02499,0.001802,0.001802,0.001802
7,183.158,2.06797,1.92254,0.96523,0.84911,0.76104,0.83674,0.35748,1.85877,1.07664,0.97268,0.0017624,0.0017624,0.0017624
8,208.377,2.07328,1.69714,0.9679,0.82813,0.8026,0.8461,0.36067,1.86267,1.016,0.96842,0.0017228,0.0017228,0.0017228
9,233.649,1.9708,1.49155,0.9468,0.76771,0.82338,0.82227,0.36662,1.85975,1.05972,0.96444,0.0016832,0.0016832,0.0016832
10,258.997,2.01992,1.44965,0.97129,0.86224,0.8,0.86923,0.38972,1.82381,0.99839,0.96253,0.0016436,0.0016436,0.0016436
11,284.337,1.96915,1.3787,0.9363,0.85476,0.82545,0.88734,0.40113,1.81012,0.96195,0.95628,0.001604,0.001604,0.001604
12,310.042,2.00622,1.28896,0.95601,0.85286,0.81039,0.85836,0.36844,1.8998,1.00048,0.97087,0.0015644,0.0015644,0.0015644
13,335.643,1.93985,1.19416,0.9401,0.83582,0.83306,0.86254,0.37902,1.85948,1.00043,0.96169,0.0015248,0.0015248,0.0015248
14,361.233,1.94763,1.18604,0.93864,0.8054,0.84675,0.87196,0.3805,1.83841,0.97975,0.96181,0.0014852,0.0014852,0.0014852
