epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1055,2.49572,16.8501,1.10432,0.7916,0.65723,0.73131,0.25675,2.29386,3.85864,1.04854,0.0006625,0.0006625,0.0006625
2,46.8849,2.25311,8.6912,1.0115,0.73673,0.69497,0.72888,0.27989,2.0679,3.02149,0.99787,0.00130285,0.00130285,0.00130285
3,69.6466,2.25931,6.30868,1.0128,0.75916,0.68868,0.74664,0.29281,1.98358,2.42666,0.99224,0.0019168,0.0019168,0.0019168
4,92.1249,2.26294,5.24935,1.01651,0.80765,0.75264,0.7839,0.27244,2.23201,2.38871,1.03472,0.0018812,0.0018812,0.0018812
5,113.184,2.13417,3.67569,0.97875,0.7972,0.76644,0.79763,0.3007,2.10578,2.10014,1.01062,0.0018416,0.0018416,0.0018416
6,134.209,2.09262,2.97036,0.99004,0.8424,0.70126,0.80747,0.31143,2.06465,1.16358,0.99705,0.001802,0.001802,0.001802
7,155.311,2.07867,2.34896,0.97411,0.80399,0.7481,0.77826,0.27462,2.13669,1.12008,1.00609,0.0017624,0.0017624,0.0017624
8,176.627,2.0612,2.02478,0.97064,0.82765,0.7673,0.81519,0.31987,2.03347,1.07963,1.00232,0.0017228,0.0017228,0.0017228
9,197.564,2.10344,1.75417,0.97684,0.83259,0.78197,0.82963,0.34176,2.01141,1.09934,0.99016,0.0016832,0.0016832,0.0016832
10,218.397,2.00343,1.54928,0.9667,0.8326,0.80189,0.82023,0.35746,1.92326,1.0412,0.9782,0.0016436,0.0016436,0.0016436
11,239.4,1.98555,1.44466,0.96148,0.85565,0.79245,0.83806,0.36304,1.88054,0.99839,0.97163,0.001604,0.001604,0.001604
12,260.407,1.99833,1.37555,0.9715,0.86145,0.80162,0.8571,0.37042,1.90219,0.98421,0.9698,0.0015644,0.0015644,0.0015644
13,281.534,1.97681,1.30392,0.95832,0.83628,0.77099,0.84345,0.33722,1.98094,1.04868,0.98096,0.0015248,0.0015248,0.0015248
14,302.979,2.00131,1.25391,0.96653,0.85215,0.7956,0.84582,0.32356,2.09764,1.02887,0.99626,0.0014852,0.0014852,0.0014852
15,323.939,1.96664,1.25649,0.9558,0.81535,0.83317,0.85323,0.3716,1.89523,1.02972,0.96036,0.0014456,0.0014456,0.0014456
16,345.056,1.93324,1.15524,0.96316,0.83846,0.82075,0.85032,0.38992,1.79716,0.94983,0.95422,0.001406,0.001406,0.001406
17,366.296,1.97759,1.16049,0.9503,0.86675,0.85849,0.88176,0.35899,1.92004,1.00362,0.9675,0.0013664,0.0013664,0.0013664
18,387.766,1.93764,1.11488,0.94651,0.86684,0.83962,0.88422,0.39004,1.84214,0.97682,0.96261,0.0013268,0.0013268,0.0013268
