epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8887,1.65338,3.69868,1.22444,0.9132,0.88215,0.93908,0.55807,1.38354,1.69826,1.08911,0.000662577,0.000662577,0.000662577
2,45.6498,1.40388,2.20948,1.12828,0.89094,0.93516,0.94617,0.58438,1.3112,1.18179,1.08181,0.00130292,0.00130292,0.00130292
3,66.4377,1.32355,1.64956,1.09157,0.92083,0.90071,0.957,0.59698,1.22863,1.01294,1.07646,0.00191687,0.00191687,0.00191687
4,87.2347,1.27364,1.35224,1.08465,0.94143,0.91582,0.97125,0.62245,1.165,0.93164,1.05808,0.0018812,0.0018812,0.0018812
5,108.073,1.28039,1.1373,1.08411,0.88131,0.96633,0.96889,0.62583,1.14613,0.77976,1.06314,0.0018416,0.0018416,0.0018416
6,128.861,1.21009,0.99031,1.06865,0.93265,0.93257,0.96091,0.64764,1.08811,0.67924,1.04452,0.001802,0.001802,0.001802
7,149.487,1.24581,0.90622,1.07419,0.91771,0.91919,0.96278,0.63895,1.14887,0.68191,1.06436,0.0017624,0.0017624,0.0017624
8,170.287,1.19848,0.86462,1.06065,0.92535,0.93603,0.97528,0.65105,1.13785,0.68865,1.07547,0.0017228,0.0017228,0.0017228
9,191.241,1.16205,0.79356,1.03198,0.91779,0.93979,0.96453,0.66257,1.09206,0.66175,1.06585,0.0016832,0.0016832,0.0016832
10,211.897,1.1599,0.75691,1.03932,0.91141,0.93528,0.964,0.65542,1.11322,0.66112,1.08663,0.0016436,0.0016436,0.0016436
11,232.805,1.16169,0.71252,1.04707,0.93293,0.93675,0.96748,0.67263,1.10496,0.62379,1.05486,0.001604,0.001604,0.001604
12,253.738,1.10974,0.68076,1.02877,0.92819,0.95742,0.95464,0.66278,1.06655,0.6258,1.06182,0.0015644,0.0015644,0.0015644
13,274.552,1.09968,0.66669,1.02483,0.93395,0.95225,0.97284,0.68857,1.02782,0.59413,1.02115,0.0015248,0.0015248,0.0015248
14,295.391,1.1126,0.6819,1.03275,0.94041,0.95636,0.97328,0.66256,1.09996,0.59715,1.06387,0.0014852,0.0014852,0.0014852
15,316.303,1.07053,0.65746,1.00908,0.9147,0.93873,0.96632,0.66933,1.07884,0.57437,1.05821,0.0014456,0.0014456,0.0014456
16,336.97,1.07938,0.61531,1.01035,0.93218,0.9697,0.97565,0.68446,1.05422,0.5693,1.04366,0.001406,0.001406,0.001406
17,357.714,1.09378,0.6096,1.01806,0.92864,0.94276,0.96637,0.68536,1.06134,0.59044,1.04619,0.0013664,0.0013664,0.0013664
18,378.63,1.06482,0.60662,1.00497,0.93194,0.95286,0.97833,0.67454,1.0725,0.55948,1.0553,0.0013268,0.0013268,0.0013268
19,399.368,1.05213,0.59011,1.00598,0.93487,0.95623,0.97948,0.69819,0.97707,0.53867,1.01587,0.0012872,0.0012872,0.0012872
20,419.898,1.06107,0.59147,1.00579,0.94214,0.93199,0.97014,0.68691,1.03249,0.56873,1.03459,0.0012476,0.0012476,0.0012476
21,440.484,1.01903,0.56325,0.99207,0.9128,0.96633,0.9752,0.70085,1.00639,0.56504,1.03097,0.001208,0.001208,0.001208
22,461.102,1.05846,0.57817,1.00609,0.93082,0.94613,0.9715,0.69678,1.00242,0.5703,1.03057,0.0011684,0.0011684,0.0011684
23,481.691,1.04271,0.55236,1.00044,0.93636,0.94123,0.97185,0.68772,1.0217,0.55201,1.03453,0.0011288,0.0011288,0.0011288
24,502.347,1.04819,0.55424,0.99855,0.93724,0.93939,0.97363,0.70693,1.01215,0.52867,1.04399,0.0010892,0.0010892,0.0010892
25,523.115,1.02666,0.56292,1.00268,0.96253,0.95135,0.9725,0.68437,1.00954,0.52931,1.03268,0.0010496,0.0010496,0.0010496
26,543.894,1.00322,0.53689,0.98085,0.93253,0.9697,0.97066,0.70488,0.99616,0.5487,1.02699,0.00101,0.00101,0.00101
27,564.687,1.00185,0.54005,0.98479,0.91626,0.96633,0.97641,0.69636,1.05594,0.53721,1.0537,0.0009704,0.0009704,0.0009704
28,585.349,1.01334,0.53335,0.98156,0.9433,0.95225,0.97847,0.71518,1.01826,0.53358,1.04477,0.0009308,0.0009308,0.0009308
29,605.94,0.98244,0.51553,0.97649,0.94953,0.96296,0.97842,0.70949,1.00462,0.53113,1.0345,0.0008912,0.0008912,0.0008912
30,626.603,0.97019,0.50815,0.97502,0.92112,0.94368,0.97076,0.70517,1.02147,0.52802,1.03387,0.0008516,0.0008516,0.0008516
31,647.496,0.9522,0.49397,0.9657,0.92177,0.94613,0.96564,0.69841,1.00866,0.5281,1.04146,0.000812,0.000812,0.000812
32,668.559,0.98049,0.50891,0.9766,0.93717,0.95415,0.97568,0.70935,0.98976,0.51972,1.01806,0.0007724,0.0007724,0.0007724
33,689.375,0.97688,0.49692,0.97735,0.93865,0.94949,0.9782,0.71268,1.01681,0.51154,1.03743,0.0007328,0.0007328,0.0007328
34,710.032,0.94641,0.49292,0.96319,0.93465,0.96312,0.97896,0.7087,0.994,0.52229,1.03798,0.0006932,0.0006932,0.0006932
35,730.884,0.91721,0.48249,0.95345,0.93295,0.9596,0.97936,0.7173,0.98923,0.5034,1.0338,0.0006536,0.0006536,0.0006536
36,751.526,0.92515,0.48866,0.954,0.93032,0.97306,0.97718,0.70647,1.02477,0.5079,1.04269,0.000614,0.000614,0.000614
37,772.068,0.94455,0.48769,0.95576,0.93665,0.95623,0.98186,0.72543,0.98258,0.50162,1.02743,0.0005744,0.0005744,0.0005744
38,792.593,0.9147,0.47274,0.95004,0.93446,0.97306,0.98259,0.72552,0.96618,0.50027,1.02255,0.0005348,0.0005348,0.0005348
39,813.208,0.92566,0.4713,0.95623,0.93783,0.9697,0.98306,0.72632,0.98782,0.49564,1.03154,0.0004952,0.0004952,0.0004952
40,833.947,0.90513,0.46366,0.9428,0.94646,0.95237,0.97702,0.7094,1.0093,0.50568,1.03202,0.0004556,0.0004556,0.0004556
41,855.548,0.88047,0.4465,0.93579,0.92852,0.96227,0.97685,0.7158,0.9936,0.50017,1.03442,0.000416,0.000416,0.000416
42,876.146,0.87727,0.44032,0.93752,0.93547,0.97627,0.9783,0.70693,0.99297,0.50149,1.02356,0.0003764,0.0003764,0.0003764
43,896.777,0.87808,0.43585,0.93893,0.93719,0.95456,0.98166,0.72696,0.97651,0.48736,1.01911,0.0003368,0.0003368,0.0003368
44,917.433,0.86915,0.43458,0.93558,0.93733,0.9568,0.98314,0.7297,0.96612,0.49023,1.01808,0.0002972,0.0002972,0.0002972
