epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1598,1.71758,4.44555,1.27302,0.66927,0.71739,0.69289,0.41254,1.42843,2.57294,1.11963,0.000661111,0.000661111,0.000661111
2,35.1995,1.50647,2.65674,1.17497,0.83889,0.8913,0.92084,0.51496,1.4099,1.40216,1.1459,0.00130149,0.00130149,0.00130149
3,50.7912,1.41551,2.25811,1.14208,0.93147,0.84348,0.94266,0.5883,1.31141,1.21292,1.09958,0.00191546,0.00191546,0.00191546
4,66.1124,1.37402,1.82066,1.12151,0.93106,0.93948,0.96866,0.60925,1.25575,1.04167,1.06728,0.0018812,0.0018812,0.0018812
5,81.4087,1.28993,1.42941,1.10585,0.89746,0.96087,0.96791,0.60295,1.24619,0.99131,1.12262,0.0018416,0.0018416,0.0018416
6,96.9736,1.29574,1.24903,1.08924,0.88484,0.94783,0.96588,0.6063,1.22656,0.97904,1.1071,0.001802,0.001802,0.001802
7,112.276,1.28462,1.1488,1.10276,0.92952,0.91751,0.9719,0.64439,1.16303,0.76378,1.0952,0.0017624,0.0017624,0.0017624
8,127.544,1.27006,1.03697,1.09859,0.89475,0.93478,0.96841,0.62611,1.2313,0.7507,1.11877,0.0017228,0.0017228,0.0017228
9,142.699,1.27695,0.95303,1.10187,0.90418,0.9436,0.96277,0.62875,1.21561,0.72912,1.10696,0.0016832,0.0016832,0.0016832
10,157.93,1.18784,0.85745,1.05002,0.91888,0.93575,0.96357,0.65412,1.14799,0.6753,1.06281,0.0016436,0.0016436,0.0016436
11,173.1,1.22717,0.84119,1.07573,0.93448,0.93016,0.96824,0.64139,1.18448,0.69298,1.11292,0.001604,0.001604,0.001604
12,188.365,1.2119,0.79465,1.06967,0.9202,0.93913,0.97482,0.64003,1.22729,0.67261,1.10887,0.0015644,0.0015644,0.0015644
13,203.598,1.151,0.74748,1.05015,0.91239,0.95652,0.9728,0.64338,1.14359,0.66071,1.07806,0.0015248,0.0015248,0.0015248
14,218.962,1.18081,0.73586,1.04373,0.91596,0.9478,0.97592,0.6616,1.15038,0.6279,1.09414,0.0014852,0.0014852,0.0014852
15,234.26,1.14402,0.69675,1.04443,0.90386,0.96087,0.97352,0.65356,1.13065,0.61917,1.08892,0.0014456,0.0014456,0.0014456
16,249.555,1.1651,0.69212,1.04856,0.91569,0.95217,0.97806,0.63708,1.19212,0.6458,1.0815,0.001406,0.001406,0.001406
17,264.853,1.15573,0.67022,1.03772,0.88867,0.95652,0.97356,0.63872,1.20114,0.67742,1.09947,0.0013664,0.0013664,0.0013664
18,280.263,1.14335,0.6681,1.04428,0.92749,0.94543,0.97285,0.66592,1.11239,0.61486,1.08487,0.0013268,0.0013268,0.0013268
19,295.601,1.10612,0.65254,1.02821,0.91656,0.96522,0.97116,0.64754,1.16158,0.60848,1.06744,0.0012872,0.0012872,0.0012872
20,310.757,1.10269,0.62946,1.01997,0.9058,0.96157,0.9719,0.66539,1.12811,0.6099,1.08313,0.0012476,0.0012476,0.0012476
21,325.945,1.09269,0.61131,1.01647,0.93218,0.97391,0.98239,0.69211,1.13743,0.58699,1.07639,0.001208,0.001208,0.001208
22,341.101,1.07531,0.61052,1.01534,0.91919,0.97826,0.9746,0.67212,1.12841,0.58133,1.08793,0.0011684,0.0011684,0.0011684
23,356.489,1.10252,0.59938,1.02718,0.92054,0.95701,0.98075,0.66219,1.14894,0.59448,1.10755,0.0011288,0.0011288,0.0011288
24,371.961,1.07633,0.60262,1.01727,0.92425,0.95484,0.9711,0.67513,1.14791,0.58481,1.09267,0.0010892,0.0010892,0.0010892
25,387.557,1.07406,0.59265,1.00763,0.93088,0.93913,0.97793,0.67895,1.15639,0.58906,1.07384,0.0010496,0.0010496,0.0010496
26,403.082,1.07668,0.59997,1.02036,0.91315,0.96001,0.97147,0.67607,1.14486,0.60222,1.08701,0.00101,0.00101,0.00101
27,418.54,1.05453,0.58138,1.00353,0.93961,0.94705,0.9746,0.68031,1.09936,0.59565,1.0539,0.0009704,0.0009704,0.0009704
28,433.761,1.02338,0.5598,0.9906,0.93156,0.94783,0.97499,0.69337,1.08655,0.55993,1.06319,0.0009308,0.0009308,0.0009308
29,449.166,1.02306,0.55024,0.99519,0.93818,0.92609,0.96966,0.67836,1.13874,0.58298,1.08831,0.0008912,0.0008912,0.0008912
30,464.557,1.01251,0.5437,0.97445,0.91632,0.95217,0.97061,0.68298,1.12465,0.57295,1.06963,0.0008516,0.0008516,0.0008516
31,479.771,1.02283,0.54525,0.9934,0.94347,0.93478,0.9684,0.69191,1.10965,0.554,1.06402,0.000812,0.000812,0.000812
32,494.901,1.02592,0.54244,0.98824,0.94121,0.96957,0.979,0.69483,1.10517,0.54876,1.06639,0.0007724,0.0007724,0.0007724
33,510.252,0.98679,0.53031,0.9789,0.9474,0.96522,0.98029,0.70107,1.09696,0.53054,1.06065,0.0007328,0.0007328,0.0007328
