epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9421,1.78425,4.6687,1.31683,0.00889,0.65,0.22346,0.131,1.41509,3.68893,1.12836,0.000658333,0.000658333,0.000658333
2,24.5385,1.59325,3.14564,1.20733,0.90619,0.83125,0.90195,0.51453,1.45348,1.67907,1.17396,0.00129877,0.00129877,0.00129877
3,34.9457,1.5468,2.62047,1.20654,0.89318,0.83125,0.89483,0.54522,1.35565,1.46376,1.10097,0.0019128,0.0019128,0.0019128
4,45.2469,1.45789,2.28995,1.1571,0.83586,0.90625,0.92157,0.54664,1.37069,1.23268,1.15231,0.0018812,0.0018812,0.0018812
5,55.4556,1.53003,1.95351,1.19261,0.9252,0.8504,0.94372,0.54645,1.37697,1.18984,1.16363,0.0018416,0.0018416,0.0018416
6,65.5769,1.48208,1.70128,1.17076,0.9275,0.87958,0.9601,0.56557,1.36582,1.09623,1.12613,0.001802,0.001802,0.001802
7,75.7105,1.45049,1.62788,1.1496,0.92141,0.9125,0.963,0.59043,1.29648,1.01116,1.10135,0.0017624,0.0017624,0.0017624
8,85.8805,1.3905,1.43926,1.11521,0.90836,0.92927,0.96168,0.5656,1.40808,0.97476,1.1307,0.0017228,0.0017228,0.0017228
9,96.1697,1.40753,1.33569,1.12532,0.93363,0.8625,0.95479,0.59444,1.28064,1.02941,1.16644,0.0016832,0.0016832,0.0016832
10,106.514,1.36564,1.22529,1.13051,0.91482,0.8726,0.96275,0.60032,1.2576,0.99569,1.11157,0.0016436,0.0016436,0.0016436
11,116.707,1.30835,1.17697,1.09301,0.8987,0.94375,0.97291,0.6052,1.27591,0.75703,1.11814,0.001604,0.001604,0.001604
12,127.006,1.31765,1.10203,1.11127,0.91094,0.95894,0.98084,0.61562,1.25385,0.71783,1.09597,0.0015644,0.0015644,0.0015644
13,137.398,1.32024,0.98988,1.09304,0.93174,0.93843,0.9824,0.61706,1.27441,0.68756,1.11527,0.0015248,0.0015248,0.0015248
14,147.623,1.28048,0.94894,1.07843,0.93662,0.92355,0.96664,0.59383,1.28802,0.71595,1.09488,0.0014852,0.0014852,0.0014852
15,157.943,1.27504,0.89493,1.07582,0.91536,0.94625,0.97905,0.61198,1.25039,0.6687,1.083,0.0014456,0.0014456,0.0014456
16,168.111,1.21576,0.83659,1.05487,0.94272,0.92575,0.98162,0.62256,1.27225,0.64583,1.09704,0.001406,0.001406,0.001406
17,178.241,1.22246,0.81756,1.06458,0.91861,0.94375,0.97388,0.62363,1.25102,0.66744,1.1024,0.0013664,0.0013664,0.0013664
18,188.427,1.25166,0.80103,1.06744,0.93728,0.93406,0.98284,0.63062,1.25546,0.62292,1.10635,0.0013268,0.0013268,0.0013268
19,198.694,1.23626,0.76651,1.06935,0.9455,0.94375,0.98201,0.63785,1.23514,0.6295,1.08521,0.0012872,0.0012872,0.0012872
20,208.864,1.22254,0.76169,1.06068,0.93544,0.90559,0.97466,0.62319,1.25646,0.64116,1.1111,0.0012476,0.0012476,0.0012476
21,219.067,1.24733,0.75136,1.07631,0.94529,0.97193,0.97892,0.64771,1.23628,0.62191,1.10996,0.001208,0.001208,0.001208
22,229.35,1.2049,0.7303,1.06446,0.9371,0.95625,0.98224,0.62365,1.243,0.63806,1.10986,0.0011684,0.0011684,0.0011684
23,239.671,1.21316,0.72939,1.06922,0.89998,0.95604,0.97018,0.58148,1.3657,0.6744,1.17668,0.0011288,0.0011288,0.0011288
24,250,1.20748,0.71453,1.04655,0.92128,0.95089,0.97472,0.65059,1.21916,0.62932,1.09726,0.0010892,0.0010892,0.0010892
25,260.474,1.19753,0.69325,1.04854,0.91375,0.95625,0.97444,0.63655,1.25669,0.61253,1.10267,0.0010496,0.0010496,0.0010496
26,270.888,1.16141,0.68745,1.03503,0.9207,0.95,0.97638,0.6449,1.23044,0.63624,1.10584,0.00101,0.00101,0.00101
27,281.264,1.17904,0.67554,1.04923,0.95156,0.95625,0.97152,0.63597,1.23684,0.59668,1.10572,0.0009704,0.0009704,0.0009704
28,291.537,1.12712,0.63735,1.02392,0.93707,0.975,0.97576,0.626,1.26982,0.58188,1.12617,0.0009308,0.0009308,0.0009308
29,301.699,1.17105,0.66433,1.04562,0.91483,0.9625,0.97703,0.65019,1.24419,0.60485,1.11649,0.0008912,0.0008912,0.0008912
30,311.918,1.12845,0.6494,1.02693,0.92676,0.94905,0.97837,0.64133,1.23813,0.60018,1.11424,0.0008516,0.0008516,0.0008516
31,322.26,1.13275,0.62393,1.02214,0.93726,0.93373,0.97748,0.65405,1.20708,0.58686,1.09331,0.000812,0.000812,0.000812
32,332.577,1.07624,0.6051,1.00411,0.94822,0.9375,0.98048,0.65104,1.20657,0.56526,1.08448,0.0007724,0.0007724,0.0007724
33,342.768,1.09627,0.60146,1.006,0.9535,0.94375,0.98333,0.65567,1.20557,0.554,1.1013,0.0007328,0.0007328,0.0007328
34,352.942,1.10978,0.60779,1.02044,0.93404,0.96875,0.98308,0.66647,1.19262,0.55179,1.0766,0.0006932,0.0006932,0.0006932
35,363.16,1.13127,0.61468,1.01982,0.95618,0.95463,0.98138,0.64842,1.2179,0.56684,1.09766,0.0006536,0.0006536,0.0006536
36,373.312,1.09308,0.59184,1.01644,0.92778,0.9625,0.9788,0.64228,1.2333,0.56179,1.09813,0.000614,0.000614,0.000614
37,383.535,1.08063,0.58906,1.01049,0.9177,0.97567,0.97931,0.64928,1.23268,0.56497,1.11196,0.0005744,0.0005744,0.0005744
38,393.769,1.09871,0.59084,1.00797,0.94113,0.95625,0.97634,0.65564,1.21167,0.5658,1.08195,0.0005348,0.0005348,0.0005348
39,403.96,1.05567,0.56385,0.99705,0.94729,0.95,0.97598,0.65619,1.21645,0.55731,1.07964,0.0004952,0.0004952,0.0004952
40,414.135,1.04811,0.56621,0.98805,0.93216,0.9625,0.98102,0.66543,1.20539,0.54849,1.07927,0.0004556,0.0004556,0.0004556
41,425.15,1.06781,0.6037,0.99869,0.9488,0.9265,0.97767,0.63529,1.24401,0.59216,1.11451,0.000416,0.000416,0.000416
42,435.316,1.02602,0.55708,0.99355,0.92692,0.95625,0.97596,0.64859,1.21738,0.56483,1.10235,0.0003764,0.0003764,0.0003764
43,445.435,1.03121,0.55894,0.99279,0.949,0.95625,0.97798,0.65068,1.23043,0.55787,1.09087,0.0003368,0.0003368,0.0003368
44,455.606,0.97077,0.53424,0.97355,0.93669,0.975,0.98295,0.66,1.20301,0.53783,1.08531,0.0002972,0.0002972,0.0002972
45,465.725,1.00801,0.54,0.98035,0.93833,0.95096,0.98211,0.65969,1.20916,0.56049,1.09227,0.0002576,0.0002576,0.0002576
46,475.93,0.97819,0.52367,0.9782,0.92285,0.9719,0.98323,0.66571,1.20535,0.53641,1.0903,0.000218,0.000218,0.000218
47,486.163,0.97295,0.52047,0.97518,0.95489,0.9375,0.98318,0.6685,1.20388,0.54182,1.08496,0.0001784,0.0001784,0.0001784
48,496.407,0.96724,0.51283,0.97228,0.94383,0.94518,0.98316,0.66518,1.21512,0.54028,1.08715,0.0001388,0.0001388,0.0001388
