epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9833,2.62338,20.6713,1.21932,0.00066,0.10256,0.00091,0.00015,2.13866,9.54923,1.04821,0.000655738,0.000655738,0.000655738
2,19.7571,2.33979,12.3969,1.13808,0.74458,0.57307,0.66821,0.2836,2.03004,3.65964,1.06487,0.00129622,0.00129622,0.00129622
3,28.0965,2.26198,10.5071,1.099,0.70644,0.66667,0.71747,0.26693,2.15013,3.5472,1.09715,0.0019103,0.0019103,0.0019103
4,36.2808,2.25788,8.80662,1.10465,0.64067,0.5641,0.59332,0.22477,2.15978,3.28405,1.0951,0.0018812,0.0018812,0.0018812
5,44.5186,2.2035,8.07215,1.0854,0.75486,0.70085,0.70001,0.26714,2.06219,2.61024,1.06884,0.0018416,0.0018416,0.0018416
6,52.1589,2.21731,6.6063,1.09931,0.80885,0.65099,0.74528,0.29859,2.06897,2.65894,1.09025,0.001802,0.001802,0.001802
7,60.3564,2.28857,6.46096,1.07936,0.72343,0.5812,0.67024,0.25647,2.13149,2.74068,1.08363,0.0017624,0.0017624,0.0017624
8,68.606,2.22183,5.87619,1.0657,0.68029,0.64957,0.66539,0.26482,2.16421,2.37458,1.09175,0.0017228,0.0017228,0.0017228
9,76.7636,2.13555,4.91299,1.05561,0.76914,0.68376,0.74967,0.31538,2.12543,2.35501,1.082,0.0016832,0.0016832,0.0016832
10,84.3245,2.12529,4.7612,1.06624,0.81578,0.78632,0.8219,0.34186,1.9888,2.11357,1.0436,0.0016436,0.0016436,0.0016436
11,92.5525,2.05883,3.81105,1.02333,0.77893,0.65812,0.7247,0.30393,2.04383,2.4331,1.05963,0.001604,0.001604,0.001604
12,100.727,2.09868,3.70577,1.05315,0.75683,0.7265,0.76201,0.33357,2.06317,2.17894,1.0529,0.0015644,0.0015644,0.0015644
13,108.854,2.04113,3.24598,1.01277,0.80953,0.79918,0.80476,0.33509,2.02842,2.09476,1.04744,0.0015248,0.0015248,0.0015248
14,116.418,2.0698,3.09683,1.03116,0.81247,0.73504,0.78183,0.31501,1.98407,2.04651,1.03623,0.0014852,0.0014852,0.0014852
15,124.606,2.04359,2.86446,1.05635,0.79812,0.78632,0.8121,0.31788,2.02338,1.31946,1.04826,0.0014456,0.0014456,0.0014456
16,132.855,2.01434,2.78613,1.04708,0.70928,0.77157,0.76475,0.30488,1.9422,1.27984,1.02769,0.001406,0.001406,0.001406
17,141.123,1.96565,2.60595,1.01055,0.76991,0.71502,0.73706,0.28994,2.05164,1.20663,1.05371,0.0013664,0.0013664,0.0013664
18,148.834,2.05229,2.30935,1.02532,0.81847,0.73504,0.79036,0.34568,1.9315,1.2459,1.02769,0.0013268,0.0013268,0.0013268
19,157.186,2.02321,2.30238,1.02726,0.86407,0.70085,0.80409,0.32885,1.98757,1.17602,1.03598,0.0012872,0.0012872,0.0012872
20,165.526,1.98438,2.17417,0.99262,0.85287,0.74316,0.79014,0.31624,1.98992,1.15085,1.03147,0.0012476,0.0012476,0.0012476
21,173.223,2.0412,2.13403,1.02661,0.77144,0.80342,0.78235,0.27183,2.20458,1.15016,1.10878,0.001208,0.001208,0.001208
22,181.535,2.00553,1.95798,1.01715,0.8209,0.79487,0.81424,0.34251,1.9785,1.14023,1.03096,0.0011684,0.0011684,0.0011684
23,189.727,2.07884,2.07163,1.01681,0.82954,0.78632,0.81785,0.33612,2.00087,1.10591,1.03734,0.0011288,0.0011288,0.0011288
24,197.823,1.92884,1.97498,1.00581,0.83234,0.76378,0.80126,0.34989,1.94487,1.24463,1.02156,0.0010892,0.0010892,0.0010892
25,205.334,1.91986,1.76258,1.0055,0.81014,0.76591,0.80984,0.35594,1.97945,1.13317,1.02993,0.0010496,0.0010496,0.0010496
26,213.476,1.96516,1.78138,1.01616,0.904,0.71795,0.81876,0.35604,1.94964,1.16428,1.0223,0.00101,0.00101,0.00101
27,221.682,1.96844,1.75532,0.99279,0.79045,0.77379,0.81114,0.34056,1.91443,1.11112,1.01867,0.0009704,0.0009704,0.0009704
28,229.908,1.87778,1.60059,1.00889,0.7914,0.77778,0.78921,0.32921,1.98515,1.10378,1.03195,0.0009308,0.0009308,0.0009308
29,237.461,1.83724,1.56121,0.98861,0.83962,0.80342,0.81562,0.36305,1.94215,1.08087,1.02467,0.0008912,0.0008912,0.0008912
30,245.57,1.96689,1.63991,1.01469,0.80943,0.79865,0.81261,0.35754,1.91606,1.06978,1.01746,0.0008516,0.0008516,0.0008516
31,253.624,1.91138,1.60475,0.99524,0.80216,0.82906,0.83548,0.36266,1.92562,1.03657,1.0236,0.000812,0.000812,0.000812
32,261.835,1.87321,1.45296,1.00062,0.76363,0.80342,0.80566,0.34681,1.96488,1.0835,1.02867,0.0007724,0.0007724,0.0007724
33,270.049,1.88109,1.40798,0.97688,0.78074,0.83761,0.83922,0.34829,2.01738,1.04917,1.0358,0.0007328,0.0007328,0.0007328
34,278.109,1.87277,1.44302,1.00226,0.85714,0.76068,0.85574,0.37751,1.90466,1.04255,1.01078,0.0006932,0.0006932,0.0006932
35,286.408,1.91056,1.43838,0.9705,0.86265,0.71795,0.82664,0.34552,1.94575,1.12454,1.01999,0.0006536,0.0006536,0.0006536
36,294.709,1.86404,1.56012,1.00074,0.87714,0.73227,0.82413,0.33917,1.98733,1.12564,1.02751,0.000614,0.000614,0.000614
37,302.371,1.8012,1.35886,0.98816,0.88982,0.73504,0.82409,0.35726,1.97595,1.05733,1.0246,0.0005744,0.0005744,0.0005744
38,310.598,1.81357,1.30796,0.97105,0.92586,0.74718,0.82712,0.35765,2.01248,1.16901,1.03235,0.0005348,0.0005348,0.0005348
39,318.692,1.81386,1.30629,0.98035,0.87052,0.80447,0.86904,0.37555,1.96221,0.99165,1.01909,0.0004952,0.0004952,0.0004952
40,326.755,1.80114,1.24248,0.9837,0.84229,0.80342,0.82433,0.35403,1.98717,1.03033,1.02348,0.0004556,0.0004556,0.0004556
41,335.281,1.76721,1.44158,1.00478,0.84379,0.78486,0.8226,0.35107,2.01953,1.13472,1.02612,0.000416,0.000416,0.000416
42,343.584,1.80021,1.52264,0.99362,0.79941,0.78632,0.82364,0.33409,2.04553,1.11516,1.03407,0.0003764,0.0003764,0.0003764
43,351.887,1.72267,1.43078,0.9785,0.83423,0.81197,0.84228,0.35171,2.00605,1.06072,1.02707,0.0003368,0.0003368,0.0003368
