epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.93426,1.96959,7.13883,1.55865,0.00352,0.37079,0.29416,0.10189,1.5321,4.29514,1.35366,0.000540231,0.000540231,0.000540231
2,13.0619,1.78728,5.19212,1.41469,0.78811,0.05056,0.17099,0.04688,1.76505,3.84352,1.57017,0.0010742,0.0010742,0.0010742
3,18.1177,1.8518,5.07503,1.47233,0.90508,0.03933,0.09267,0.03989,1.74026,3.17096,1.40268,0.00158616,0.00158616,0.00158616
4,23.1341,1.80076,4.81142,1.46837,0.94181,0.34124,0.41134,0.21268,1.67847,2.70437,1.42964,0.00156798,0.00156798,0.00156798
5,28.1875,1.71485,4.73971,1.44911,0.92407,0.43925,0.48807,0.22917,1.74136,2.20756,1.51307,0.00153497,0.00153497,0.00153497
6,33.1826,1.66227,3.74982,1.34605,0.77837,0.52185,0.53844,0.23896,1.70117,2.12359,1.45191,0.00150197,0.00150197,0.00150197
7,38.259,1.64498,3.79803,1.33258,0.63377,0.48252,0.53734,0.25818,1.68273,1.85427,1.42321,0.00146896,0.00146896,0.00146896
8,43.2297,1.59482,3.90902,1.3218,0.82526,0.63858,0.64922,0.29668,1.62199,1.72449,1.4018,0.00143595,0.00143595,0.00143595
9,48.1784,1.55704,3.29559,1.27321,0.7842,0.66879,0.71877,0.33688,1.53068,1.66412,1.32852,0.00140295,0.00140295,0.00140295
10,53.098,1.51676,3.00366,1.27403,0.74143,0.73845,0.76802,0.34941,1.61304,1.62996,1.35491,0.00136994,0.00136994,0.00136994
11,58.04,1.49743,2.76254,1.23108,0.94185,0.62973,0.75779,0.31726,1.64203,1.60554,1.39053,0.00133693,0.00133693,0.00133693
12,62.937,1.5142,2.67448,1.23845,0.90171,0.64419,0.69709,0.29364,1.72239,1.58081,1.43736,0.00130393,0.00130393,0.00130393
13,67.7983,1.48742,2.6729,1.2481,0.91075,0.5774,0.69079,0.29369,1.66691,1.45582,1.39075,0.00127092,0.00127092,0.00127092
14,72.6637,1.42469,2.40462,1.20453,0.64488,0.58463,0.64589,0.30172,1.63293,1.45336,1.36542,0.00123791,0.00123791,0.00123791
15,77.5472,1.43698,2.33364,1.2073,0.70586,0.6912,0.74065,0.32645,1.64199,1.49727,1.34924,0.00120491,0.00120491,0.00120491
16,82.4205,1.44322,2.29792,1.24479,0.68221,0.75063,0.78543,0.32899,1.60396,1.45022,1.36129,0.0011719,0.0011719,0.0011719
17,87.2838,1.41766,2.16118,1.201,0.80748,0.74969,0.80335,0.33287,1.55465,1.37487,1.32161,0.00113889,0.00113889,0.00113889
18,92.2115,1.37264,1.97116,1.15665,0.94058,0.68762,0.78531,0.32848,1.62082,1.56747,1.37086,0.00110589,0.00110589,0.00110589
19,97.0646,1.37611,2.05533,1.14957,0.89331,0.69413,0.77113,0.3285,1.6354,1.40917,1.3772,0.00107288,0.00107288,0.00107288
20,101.998,1.33718,2.00559,1.13428,0.70819,0.62172,0.72223,0.30877,1.72121,1.1158,1.43394,0.00103987,0.00103987,0.00103987
21,106.91,1.35783,1.6772,1.16637,0.68276,0.62172,0.69072,0.3087,1.65479,0.96102,1.41093,0.00100687,0.00100687,0.00100687
