epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5364,2.46391,24.5545,1.28038,0,0,0,0,2.13456,10.3761,1.12979,0.000650794,0.000650794,0.000650794
2,22.9028,2.28374,12.9893,1.1625,0.00095,0.16901,0.05995,0.02822,2.20026,6.87044,1.20697,0.00129137,0.00129137,0.00129137
3,29.4362,2.24713,10.952,1.16023,0.93852,0.21517,0.52549,0.19834,2.14143,4.35468,1.18533,0.00190556,0.00190556,0.00190556
4,35.5107,2.27708,10.9322,1.20775,0.7802,0.69014,0.68287,0.21444,2.33722,3.57407,1.24315,0.0018812,0.0018812,0.0018812
5,39.472,2.23869,10.3847,1.14471,0.59776,0.5024,0.55812,0.18907,2.26783,3.41973,1.20101,0.0018416,0.0018416,0.0018416
6,48.2262,2.17769,7.88299,1.12796,0.69266,0.67606,0.65784,0.21651,2.22792,3.23984,1.21675,0.001802,0.001802,0.001802
7,54.9917,2.12572,7.89805,1.13078,0.80594,0.70197,0.76002,0.28805,2.13545,2.8083,1.16642,0.0017624,0.0017624,0.0017624
8,61.3758,2.02356,6.86848,1.08641,0.77371,0.71831,0.75555,0.28768,2.1752,2.47148,1.16094,0.0017228,0.0017228,0.0017228
9,67.57,2.11673,6.90125,1.08444,0.82021,0.78873,0.7926,0.2756,2.17256,2.2964,1.15811,0.0016832,0.0016832,0.0016832
10,71.0582,2.16284,6.32131,1.0907,0.84412,0.74648,0.7545,0.31826,2.05936,2.28335,1.13226,0.0016436,0.0016436,0.0016436
11,77.0351,2.0965,5.67719,1.08519,0.7369,0.69014,0.70178,0.2745,2.17785,2.32405,1.16698,0.001604,0.001604,0.001604
12,83.0064,2.03983,4.56327,1.08341,0.63303,0.74648,0.69064,0.25355,2.20823,2.30453,1.16525,0.0015644,0.0015644,0.0015644
13,88.9583,2.06212,4.55987,1.07453,0.61966,0.70423,0.66513,0.24094,2.2911,2.43671,1.19831,0.0015248,0.0015248,0.0015248
14,94.9507,1.99758,4.36313,1.09614,0.68612,0.71831,0.73612,0.27831,2.13766,2.44708,1.15746,0.0014852,0.0014852,0.0014852
15,98.7468,2.02358,4.44021,1.03614,0.76299,0.76056,0.77687,0.3017,2.19941,2.19582,1.18393,0.0014456,0.0014456,0.0014456
16,104.708,1.97897,3.89606,1.05083,0.78678,0.77963,0.78054,0.32847,2.04393,2.16393,1.12236,0.001406,0.001406,0.001406
17,110.696,1.94909,4.09274,1.04291,0.80082,0.73622,0.75952,0.25547,2.35068,2.24777,1.20663,0.0013664,0.0013664,0.0013664
18,116.653,2.00748,4.00604,1.06863,0.86033,0.76056,0.81807,0.32512,2.14012,2.00833,1.15746,0.0013268,0.0013268,0.0013268
19,122.704,1.97709,3.59224,1.02486,0.87104,0.74648,0.77456,0.29181,2.28116,2.13163,1.1931,0.0012872,0.0012872,0.0012872
