epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1395,1.5353,3.23868,1.19782,0.86525,0.90747,0.92509,0.55014,1.37786,1.61254,1.09706,0.00066335,0.00066335,0.00066335
2,56.5415,1.33182,1.9099,1.1028,0.90901,0.89847,0.95117,0.60064,1.22216,1.01441,1.06172,0.00130368,0.00130368,0.00130368
3,82.3132,1.31901,1.44617,1.11268,0.93094,0.89477,0.96222,0.59943,1.26661,1.1071,1.08074,0.00191761,0.00191761,0.00191761
4,108.321,1.24114,1.14086,1.07783,0.92058,0.92719,0.96961,0.62794,1.17625,0.76875,1.0601,0.0018812,0.0018812,0.0018812
5,134.101,1.2087,0.96617,1.06973,0.93162,0.93356,0.97108,0.63683,1.19388,0.67893,1.0495,0.0018416,0.0018416,0.0018416
6,159.925,1.19517,0.84811,1.06247,0.9172,0.92504,0.96254,0.6369,1.1624,0.68488,1.07361,0.001802,0.001802,0.001802
7,185.63,1.15995,0.767,1.04392,0.92756,0.93224,0.96622,0.6448,1.16226,0.64259,1.05958,0.0017624,0.0017624,0.0017624
8,211.137,1.13026,0.71675,1.03923,0.91944,0.93148,0.97161,0.65475,1.16395,0.6368,1.05456,0.0017228,0.0017228,0.0017228
9,236.824,1.13149,0.69747,1.03984,0.93753,0.91435,0.97226,0.64975,1.18671,0.64233,1.07936,0.0016832,0.0016832,0.0016832
10,262.415,1.13206,0.68219,1.04061,0.93572,0.9352,0.97578,0.66421,1.11319,0.5986,1.03489,0.0016436,0.0016436,0.0016436
11,288.084,1.07262,0.62303,1.01306,0.92105,0.9379,0.96402,0.64834,1.10962,0.64049,1.04264,0.001604,0.001604,0.001604
12,313.82,1.10757,0.63427,1.02812,0.93009,0.94647,0.97349,0.64993,1.17829,0.5861,1.07509,0.0015644,0.0015644,0.0015644
13,339.511,1.0856,0.61476,1.02702,0.91606,0.94433,0.97198,0.67585,1.09239,0.5692,1.04559,0.0015248,0.0015248,0.0015248
14,365.25,1.0531,0.58918,1.01642,0.92825,0.95503,0.97538,0.68046,1.06731,0.56785,1.01601,0.0014852,0.0014852,0.0014852
15,391.15,1.08609,0.58538,1.01925,0.92374,0.9597,0.97943,0.69543,1.06072,0.55186,1.028,0.0014456,0.0014456,0.0014456
16,417.304,1.02861,0.56908,1.00342,0.95165,0.92728,0.97475,0.6823,1.06171,0.54846,1.03186,0.001406,0.001406,0.001406
17,442.781,1.02719,0.56848,0.99715,0.93504,0.95545,0.98072,0.69483,1.04122,0.54494,1.02322,0.0013664,0.0013664,0.0013664
18,468.838,1.02528,0.56449,0.99238,0.91393,0.95717,0.97519,0.68126,1.07908,0.5495,1.02747,0.0013268,0.0013268,0.0013268
19,494.566,1.03948,0.56525,1.00296,0.94448,0.94713,0.97039,0.67878,1.06797,0.54462,1.03207,0.0012872,0.0012872,0.0012872
20,520.288,1.01676,0.54874,0.99209,0.93609,0.94433,0.97221,0.67958,1.07511,0.54449,1.04778,0.0012476,0.0012476,0.0012476
21,546.054,1.01839,0.53631,0.99709,0.95273,0.9494,0.97752,0.70587,1.04296,0.52589,1.02896,0.001208,0.001208,0.001208
22,571.778,1.00737,0.53639,0.99296,0.94677,0.95211,0.97573,0.68519,1.07528,0.5303,1.03868,0.0011684,0.0011684,0.0011684
23,597.307,0.98955,0.52669,0.98193,0.94078,0.95247,0.97994,0.70376,1.035,0.52489,1.01,0.0011288,0.0011288,0.0011288
24,622.843,0.97557,0.51507,0.98122,0.94256,0.93362,0.97278,0.68508,1.09031,0.53836,1.05075,0.0010892,0.0010892,0.0010892
