epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4191,3.40815,76.1224,1.10814,0.69937,0.68208,0.70477,0.22544,3.20922,18.5638,1.12257,0.000663522,0.000663522,0.000663522
2,58.4012,3.22117,38.8792,1.04786,0.80833,0.67016,0.73146,0.2664,2.78695,10.8513,1.02448,0.00130385,0.00130385,0.00130385
3,85.2149,3.08104,27.5798,1.01621,0.64578,0.67016,0.64797,0.21805,3.10267,11.6638,1.0439,0.00191778,0.00191778,0.00191778
4,112.02,3.08136,20.314,1.00087,0.81183,0.70023,0.79907,0.29822,2.86569,7.77357,1.0303,0.0018812,0.0018812,0.0018812
5,139.037,3.00996,14.3647,1.00087,0.78642,0.72775,0.78293,0.25741,3.01239,4.95087,1.0303,0.0018416,0.0018416,0.0018416
6,165.691,2.97903,9.79098,1.0022,0.72232,0.71728,0.76027,0.25379,2.98423,5.8635,1.04667,0.001802,0.001802,0.001802
7,192.351,2.85576,7.98548,0.98033,0.79876,0.74346,0.80191,0.31829,2.65205,4.6395,0.99832,0.0017624,0.0017624,0.0017624
8,219.176,2.81744,6.89964,0.96628,0.83191,0.77739,0.83337,0.34063,2.71591,4.51506,1.00087,0.0017228,0.0017228,0.0017228
9,246.493,2.82302,6.41454,0.98206,0.84287,0.76963,0.83185,0.32975,2.73363,4.45135,1.01116,0.0016832,0.0016832,0.0016832
10,273.596,2.8241,5.87522,0.96947,0.83436,0.79117,0.84147,0.33247,2.76151,4.26302,1.00807,0.0016436,0.0016436,0.0016436
11,300.416,2.77681,6.22506,0.96973,0.84293,0.78673,0.84481,0.34375,2.64408,4.9413,0.99985,0.001604,0.001604,0.001604
12,327.402,2.77303,5.47625,0.97241,0.81486,0.81152,0.84244,0.33848,2.62565,4.39132,0.9914,0.0015644,0.0015644,0.0015644
13,354.098,2.70459,4.89166,0.95875,0.81406,0.81675,0.83996,0.35739,2.62081,4.31771,0.99133,0.0015248,0.0015248,0.0015248
14,380.984,2.69536,4.80639,0.95524,0.85123,0.80884,0.88205,0.38842,2.51752,3.95221,0.9759,0.0014852,0.0014852,0.0014852
15,408.007,2.67906,4.65274,0.96177,0.89542,0.80691,0.87165,0.37673,2.60011,4.07643,0.99069,0.0014456,0.0014456,0.0014456
16,434.658,2.61957,4.51367,0.95195,0.84882,0.80105,0.87383,0.36087,2.68013,4.271,1.00364,0.001406,0.001406,0.001406
17,461.431,2.60046,4.37982,0.93252,0.85321,0.85208,0.88506,0.37586,2.59744,3.93047,0.99282,0.0013664,0.0013664,0.0013664
18,488.3,2.63937,4.21253,0.93915,0.85861,0.82723,0.85951,0.3646,2.54043,3.93615,0.98271,0.0013268,0.0013268,0.0013268
19,515.068,2.61292,4.25416,0.94136,0.91025,0.80628,0.89591,0.3704,2.57003,4.03259,0.98066,0.0012872,0.0012872,0.0012872
20,541.638,2.58432,4.22278,0.93696,0.83047,0.86387,0.85236,0.38208,2.5322,3.98203,0.98105,0.0012476,0.0012476,0.0012476
21,568.326,2.57761,4.14433,0.94157,0.86514,0.87435,0.88225,0.37754,2.49942,3.73881,0.96631,0.001208,0.001208,0.001208
22,595.674,2.5524,4.14681,0.93585,0.89148,0.80105,0.8725,0.37811,2.50681,3.87211,0.98157,0.0011684,0.0011684,0.0011684
23,622.971,2.51539,3.94326,0.93869,0.87968,0.8377,0.87977,0.3652,2.56363,3.85406,0.98118,0.0011288,0.0011288,0.0011288
24,649.719,2.56443,3.99415,0.94515,0.85075,0.8377,0.89403,0.38733,2.49385,3.89115,0.96744,0.0010892,0.0010892,0.0010892
25,676.834,2.56292,3.98281,0.94967,0.90489,0.82723,0.88959,0.39309,2.50135,3.77821,0.97478,0.0010496,0.0010496,0.0010496
26,703.545,2.55827,3.96306,0.92967,0.8342,0.86929,0.88657,0.40629,2.50401,3.75368,0.97301,0.00101,0.00101,0.00101
27,730.261,2.50463,3.74563,0.94121,0.85278,0.90985,0.92199,0.41148,2.49515,3.66191,0.97254,0.0009704,0.0009704,0.0009704
28,757.113,2.4699,3.77479,0.92011,0.86479,0.88482,0.88983,0.39504,2.45855,3.97544,0.96686,0.0009308,0.0009308,0.0009308
