epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.04563,2.57917,3.2372,2.70688,0.31935,0.52062,0.32818,0.10746,2.26131,1.84911,2.838,0.000657407,0.000657407,0.000657407
2,13.3996,2.18582,1.64826,2.45406,0.50451,0.52062,0.51235,0.19257,2.02631,2.01865,2.68092,0.00129786,0.00129786,0.00129786
3,18.6466,2.09298,1.5374,2.38477,0.69902,0.75423,0.77598,0.2633,2.11313,1.63353,2.86067,0.00191191,0.00191191,0.00191191
4,23.7673,2.06773,1.47437,2.41203,0.74485,0.61856,0.67915,0.22505,2.3812,1.88701,3.09193,0.0018812,0.0018812,0.0018812
5,28.9595,2.05529,1.4325,2.38724,0.71455,0.70619,0.77367,0.27403,2.12894,1.58126,2.88965,0.0018416,0.0018416,0.0018416
6,34.1077,2.01429,1.39729,2.35252,0.85646,0.83044,0.88621,0.39514,1.92661,1.14143,2.63338,0.001802,0.001802,0.001802
7,39.2648,1.99792,1.3315,2.35895,0.86005,0.76025,0.85826,0.35491,2.10355,1.22878,2.79573,0.0017624,0.0017624,0.0017624
8,44.5705,2.01352,1.30033,2.37894,0.75005,0.69072,0.74583,0.26555,2.13742,1.45495,2.86215,0.0017228,0.0017228,0.0017228
9,49.8687,1.99531,1.30159,2.35684,0.8213,0.78866,0.86186,0.37446,1.97474,1.14972,2.68558,0.0016832,0.0016832,0.0016832
10,55.2013,1.98958,1.28271,2.34129,0.84008,0.62282,0.7248,0.27598,2.21985,1.65597,2.88955,0.0016436,0.0016436,0.0016436
11,60.5603,1.98153,1.23376,2.31826,0.88161,0.75773,0.86037,0.35054,1.99662,1.15293,2.67717,0.001604,0.001604,0.001604
