epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7018,2.54305,17.969,1.09146,0.76068,0.65445,0.7238,0.25409,2.19541,4.07028,1.04128,0.00066323,0.00066323,0.00066323
2,54.3641,2.28,8.26235,1.01618,0.8314,0.64921,0.73218,0.2816,2.08704,3.0018,1.02047,0.00130356,0.00130356,0.00130356
3,79.0033,2.24419,5.82356,0.99915,0.82256,0.72251,0.78425,0.31609,2.03355,2.29935,1.03091,0.0019175,0.0019175,0.0019175
4,103.511,2.20552,4.26999,0.98218,0.77908,0.73852,0.78554,0.31344,2.01612,2.32287,1.00265,0.0018812,0.0018812,0.0018812
5,128.182,2.11878,3.14116,0.99194,0.78726,0.71685,0.80053,0.32095,1.99794,1.11636,1.01282,0.0018416,0.0018416,0.0018416
6,152.666,2.09254,2.2631,0.95889,0.81446,0.77487,0.81937,0.29856,2.14261,1.19945,1.0411,0.001802,0.001802,0.001802
7,177.276,2.06797,1.92254,0.96523,0.88056,0.77197,0.85035,0.3452,1.94884,1.07072,0.99946,0.0017624,0.0017624,0.0017624
8,201.883,2.07328,1.69714,0.9679,0.79472,0.80628,0.83662,0.35828,1.89168,1.01452,0.98266,0.0017228,0.0017228,0.0017228
9,226.727,1.9708,1.49155,0.9468,0.75889,0.81675,0.82726,0.36216,1.89963,1.08092,0.98199,0.0016832,0.0016832,0.0016832
10,251.548,2.01992,1.44965,0.97129,0.86892,0.79823,0.86443,0.37427,1.91499,0.98954,0.98635,0.0016436,0.0016436,0.0016436
11,276.354,1.96915,1.3787,0.9363,0.86405,0.83192,0.89076,0.39374,1.86545,0.95835,0.98203,0.001604,0.001604,0.001604
12,301.036,2.00622,1.28896,0.95601,0.86675,0.81152,0.84816,0.35787,1.95245,0.98247,0.98902,0.0015644,0.0015644,0.0015644
13,325.65,1.93985,1.19416,0.9401,0.84702,0.84067,0.86111,0.37742,1.92764,0.98335,0.98226,0.0015248,0.0015248,0.0015248
