epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5239,2.5998,18.1008,1.12398,0.75147,0.66327,0.74222,0.25595,2.22448,3.95365,1.04982,0.000661905,0.000661905,0.000661905
2,42.5976,2.36628,9.50305,1.03789,0.8342,0.71879,0.79098,0.2864,2.16692,3.09145,1.02092,0.00130227,0.00130227,0.00130227
3,61.4347,2.30725,7.74411,1.01111,0.73293,0.73743,0.77701,0.27961,2.18221,2.42272,1.02825,0.00191623,0.00191623,0.00191623
4,80.728,2.20279,5.41227,1.01851,0.84542,0.72789,0.82493,0.35242,1.94681,2.15189,0.97959,0.0018812,0.0018812,0.0018812
5,100.051,2.20595,4.1407,0.99318,0.71525,0.65646,0.71046,0.26554,2.13071,2.30433,1.00878,0.0018416,0.0018416,0.0018416
6,118.576,2.1813,3.45255,1.00332,0.82754,0.79975,0.85316,0.34751,1.96392,1.14635,0.98527,0.001802,0.001802,0.001802
7,137.068,2.11116,2.70974,0.99743,0.77431,0.76871,0.80668,0.30397,2.0973,1.20943,1.00419,0.0017624,0.0017624,0.0017624
8,155.584,2.15311,2.40258,0.98082,0.83879,0.8141,0.86253,0.37634,1.90905,1.07949,0.97355,0.0017228,0.0017228,0.0017228
9,174.002,2.14899,2.0842,0.98608,0.81619,0.79252,0.83858,0.32265,2.07269,1.12986,0.99662,0.0016832,0.0016832,0.0016832
10,192.642,2.09258,1.7789,0.98279,0.83806,0.78912,0.85482,0.37861,1.89247,1.08723,0.9638,0.0016436,0.0016436,0.0016436
11,211.122,2.05749,1.66063,0.9803,0.85807,0.84309,0.87865,0.36534,1.88132,1.05543,0.96184,0.001604,0.001604,0.001604
12,229.56,2.04489,1.55179,0.96738,0.84764,0.81293,0.87633,0.36505,1.94407,1.04321,0.97231,0.0015644,0.0015644,0.0015644
13,248.076,2.02556,1.45511,0.97208,0.83344,0.86054,0.87952,0.3752,1.86085,1.04584,0.95522,0.0015248,0.0015248,0.0015248
14,267.547,1.99713,1.39039,0.95383,0.8686,0.84694,0.89425,0.37663,1.87195,1.03589,0.95707,0.0014852,0.0014852,0.0014852
15,286.279,1.96756,1.33475,0.94663,0.87746,0.80612,0.88754,0.38351,1.89801,1.04537,0.95891,0.0014456,0.0014456,0.0014456
16,305.389,1.97753,1.29074,0.96801,0.85221,0.85374,0.87948,0.38717,1.86952,0.99176,0.94579,0.001406,0.001406,0.001406
17,324.013,1.97256,1.23866,0.96611,0.8947,0.78031,0.87092,0.38049,1.92526,1.06599,0.96057,0.0013664,0.0013664,0.0013664
