epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8835,2.63749,20.8696,1.21543,0.00167,0.24242,0.01104,0.00286,2.30415,7.2251,1.03962,0.000658333,0.000658333,0.000658333
2,24.5838,2.40505,11.6469,1.09436,0.62877,0.63636,0.63015,0.20677,2.29998,3.8193,1.08567,0.00129877,0.00129877,0.00129877
3,35.2559,2.33292,9.75304,1.10704,0.72542,0.69091,0.71053,0.25519,2.20448,3.58822,1.06057,0.0019128,0.0019128,0.0019128
4,46.0523,2.38002,8.65216,1.11902,0.69995,0.63636,0.66431,0.23014,2.30353,2.86658,1.06018,0.0018812,0.0018812,0.0018812
5,56.7778,2.33588,7.19838,1.09283,0.9289,0.46061,0.57632,0.20897,2.1198,5.32879,1.04057,0.0018416,0.0018416,0.0018416
6,67.646,2.2553,6.16453,1.04823,0.82416,0.73333,0.76896,0.28725,2.06465,2.35384,1.00699,0.001802,0.001802,0.001802
7,78.6682,2.16796,5.31913,1.04469,0.87209,0.74545,0.83234,0.31527,1.98648,2.13145,0.99768,0.0017624,0.0017624,0.0017624
8,89.3661,2.17119,4.21209,1.03797,0.84996,0.73939,0.79938,0.30628,2.04058,2.06073,1.00436,0.0017228,0.0017228,0.0017228
9,100.497,2.14223,3.994,1.02362,0.85005,0.75152,0.82108,0.2967,2.10632,2.04805,1.01468,0.0016832,0.0016832,0.0016832
10,111.296,2.12725,3.37278,1.02147,0.81223,0.72121,0.79208,0.29767,2.04001,2.14352,0.99767,0.0016436,0.0016436,0.0016436
11,121.882,2.10942,3.71689,1.02713,0.82326,0.77576,0.7897,0.27875,2.023,1.85145,0.99731,0.001604,0.001604,0.001604
12,133.021,2.1795,2.94403,1.06684,0.83477,0.70422,0.77147,0.29414,1.99932,1.52867,1.00992,0.0015644,0.0015644,0.0015644
13,143.664,2.16087,2.54697,1.0411,0.8772,0.73598,0.81218,0.3089,1.96682,1.09438,0.9881,0.0015248,0.0015248,0.0015248
14,154.319,2.08379,2.41501,1.0181,0.81451,0.78788,0.82443,0.31281,1.99259,1.10461,0.99148,0.0014852,0.0014852,0.0014852
15,164.939,2.02203,2.10503,0.99775,0.75065,0.78788,0.78796,0.31319,1.98216,1.10519,0.98254,0.0014456,0.0014456,0.0014456
16,175.671,2.02759,2.04304,1.00974,0.82989,0.76364,0.81104,0.31675,2.03271,1.16735,1.00312,0.001406,0.001406,0.001406
17,186.65,2.01956,1.93748,1.01012,0.88361,0.74545,0.8238,0.32402,2.04651,1.10136,0.99426,0.0013664,0.0013664,0.0013664
18,197.222,2.05117,1.8615,1.01627,0.84202,0.7697,0.81115,0.33059,1.99436,1.14895,0.99326,0.0013268,0.0013268,0.0013268
19,207.825,2.07324,1.74889,1.01807,0.82087,0.77764,0.8118,0.30084,2.07684,1.15525,1.00453,0.0012872,0.0012872,0.0012872
20,218.373,2.04073,1.75943,1.02221,0.81986,0.77232,0.83083,0.32792,2.01259,1.06912,0.98999,0.0012476,0.0012476,0.0012476
21,228.958,2.04996,1.58927,0.98729,0.851,0.79614,0.85417,0.33019,2.01091,1.03811,0.98505,0.001208,0.001208,0.001208
22,239.385,2.00001,1.50554,1.00342,0.82574,0.75758,0.79505,0.32952,1.97547,1.07382,0.97599,0.0011684,0.0011684,0.0011684
23,249.792,1.97878,1.48424,1.00927,0.89534,0.77771,0.86324,0.34448,1.95097,1.05582,0.97329,0.0011288,0.0011288,0.0011288
24,260.417,2.03055,1.48111,1.0185,0.85395,0.77961,0.84044,0.33628,1.92117,1.05967,0.97307,0.0010892,0.0010892,0.0010892
25,270.849,1.93756,1.41559,1.00627,0.82379,0.79394,0.8256,0.33605,1.92954,1.03138,0.97717,0.0010496,0.0010496,0.0010496
26,281.277,1.96335,1.35998,0.98428,0.8235,0.78788,0.81668,0.34218,1.92184,1.08288,0.96197,0.00101,0.00101,0.00101
27,291.866,1.89918,1.33979,0.98132,0.89739,0.75758,0.84332,0.33462,1.94305,1.04364,0.96723,0.0009704,0.0009704,0.0009704
